CustomerID,NumberOfOrders,TotalSpent,Segment
12455.0,6,2466.86,Medium Value
12456.0,4,3153.89,Medium Value
12457.0,12,1917.78,Medium Value
12458.0,2,947.4,Low Value
12461.0,2,826.88,Low Value
12462.0,4,1124.01,Medium Value
12463.0,7,1303.63,Medium Value
12464.0,8,1212.05,Medium Value
12465.0,3,733.89,Low Value
12468.0,3,724.0400000000001,Low Value
12471.0,49,18740.92,High Value
12472.0,13,6229.48,High Value
12473.0,9,2848.23,Medium Value
12474.0,30,7116.47,High Value
12475.0,1,723.38,Low Value
12476.0,20,6546.58,High Value
12477.0,9,13117.01,High Value
12478.0,1,680.99,Low Value
12479.0,3,477.3,Low Value
12480.0,4,3281.63,Medium Value
12481.0,11,5590.86,High Value
12483.0,13,2327.13,Medium Value
12484.0,8,4495.27,Medium Value
12488.0,3,1298.66,Medium Value
12489.0,1,334.93,Low Value
12490.0,10,5417.93,High Value
12491.0,1,460.40000000000003,Low Value
12492.0,2,263.21000000000004,Low Value
12493.0,3,416.79,Low Value
12494.0,13,1139.3500000000001,Medium Value
12497.0,1,1043.1,Medium Value
12498.0,3,403.70000000000005,Low Value
12500.0,13,4206.27,Medium Value
12501.0,2,2089.68,Medium Value
12502.0,5,3723.87,Medium Value
12503.0,1,-1126.0,
12504.0,4,114.0,Low Value
12505.0,1,-4.5,
12506.0,1,73.5,Low Value
12507.0,4,1258.06,Medium Value
12508.0,2,398.27,Low Value
12509.0,1,176.5,Low Value
12510.0,2,982.5699999999999,Low Value
12512.0,2,138.03,Low Value
12513.0,2,586.79,Low Value
12514.0,1,1017.68,Medium Value
12515.0,1,383.7,Low Value
12516.0,2,1312.06,Medium Value
12517.0,6,2464.89,Medium Value
12518.0,5,2056.89,Medium Value
12519.0,1,340.84,Low Value
12520.0,6,2582.51,Medium Value
12521.0,1,599.68,Low Value
12522.0,2,192.72,Low Value
12523.0,13,1745.57,Medium Value
12524.0,8,4485.72,Medium Value
12526.0,3,1316.66,Medium Value
12527.0,3,348.71000000000004,Low Value
12528.0,8,1922.28,Medium Value
12530.0,5,1623.63,Medium Value
12531.0,1,125.22,Low Value
12532.0,1,349.83000000000004,Low Value
12534.0,1,1089.18,Medium Value
12535.0,2,716.35,Low Value
12536.0,5,4106.82,Medium Value
12538.0,1,363.95,Low Value
12539.0,5,3852.5,Medium Value
12540.0,19,13309.039999999999,High Value
12541.0,3,981.18,Low Value
12544.0,2,355.7,Low Value
12545.0,2,1000.39,Medium Value
12546.0,3,1141.5,Medium Value
12547.0,2,207.79999999999998,Low Value
12548.0,1,95.19999999999999,Low Value
12550.0,1,964.83,Low Value
12551.0,1,168.0,Low Value
12552.0,2,437.82,Low Value
12553.0,14,3652.25,Medium Value
12556.0,2,603.71,Low Value
12557.0,5,11990.960000000001,High Value
12558.0,2,1.0658141036401503e-14,Low Value
12559.0,3,536.21,Low Value
12560.0,4,2101.39,Medium Value
12561.0,1,238.85,Low Value
12562.0,7,3781.7400000000002,Medium Value
12564.0,1,456.9,Low Value
12565.0,2,131.17,Low Value
12566.0,2,346.7,Low Value
12567.0,11,9114.94,High Value
12569.0,35,4064.9900000000002,Medium Value
12571.0,2,519.61,Low Value
12572.0,3,1004.72,Medium Value
12573.0,1,160.54000000000002,Low Value
12574.0,1,218.45,Low Value
12576.0,6,1306.98,Medium Value
12577.0,4,595.4,Low Value
12578.0,4,2753.36,Medium Value
12579.0,3,410.72,Low Value
12580.0,1,415.7,Low Value
12581.0,1,197.71,Low Value
12582.0,2,511.36,Low Value
12583.0,18,7187.34,High Value
12584.0,18,1893.95,Medium Value
12585.0,4,1982.81,Medium Value
12586.0,2,179.94000000000003,Low Value
12587.0,1,144.0,Low Value
12588.0,1,214.89999999999998,Low Value
12589.0,2,646.68,Low Value
12590.0,3,9861.38,High Value
12591.0,1,452.84999999999997,Low Value
12592.0,2,437.6,Low Value
12593.0,3,418.09999999999997,Low Value
12594.0,11,3320.2200000000003,Medium Value
12596.0,2,618.27,Low Value
12597.0,5,3683.13,Medium Value
12598.0,9,3002.68,Medium Value
12599.0,7,1032.58,Medium Value
12600.0,11,2581.04,Medium Value
12601.0,6,569.5600000000001,Low Value
12602.0,1,153.12,Low Value
12603.0,1,739.1999999999999,Low Value
12604.0,2,254.18,Low Value
12605.0,1,-7.5,
12607.0,2,3.552713678800501e-15,Low Value
12609.0,3,1126.85,Medium Value
12610.0,7,2057.99,Medium Value
12611.0,1,1193.32,Medium Value
12612.0,2,643.59,Low Value
12613.0,6,3218.98,Medium Value
12614.0,1,315.6,Low Value
12615.0,4,2291.19,Medium Value
12616.0,5,657.25,Low Value
12617.0,1,355.53,Low Value
12618.0,1,177.31,Low Value
12619.0,13,3214.81,Medium Value
12620.0,3,1339.41,Medium Value
12621.0,23,13612.07,High Value
12622.0,1,180.1,Low Value
12623.0,1,305.1,Low Value
12624.0,2,641.13,Low Value
12625.0,3,2614.32,Medium Value
12626.0,13,6388.35,High Value
12627.0,7,4478.53,Medium Value
12628.0,4,769.61,Low Value
12630.0,2,1270.88,Medium Value
12631.0,1,640.5,Low Value
12633.0,5,2140.63,Medium Value
12635.0,2,1689.18,Medium Value
12637.0,10,5953.25,High Value
12638.0,1,671.69,Low Value
12639.0,1,486.1,Low Value
12640.0,3,1174.58,Medium Value
12641.0,1,185.9,Low Value
12642.0,3,1013.26,Medium Value
12643.0,6,3344.64,Medium Value
12644.0,1,477.91,Low Value
12645.0,5,1755.38,Medium Value
12646.0,2,1346.97,Medium Value
12647.0,13,3669.92,Medium Value
12648.0,1,318.05,Low Value
12649.0,4,603.71,Low Value
12650.0,1,314.44,Low Value
12651.0,1,114.0,Low Value
12652.0,2,914.53,Low Value
12653.0,2,2209.85,Medium Value
12654.0,5,601.98,Low Value
12656.0,8,3982.72,Medium Value
12657.0,5,1152.06,Medium Value
12658.0,1,686.05,Low Value
12659.0,1,91.68,Low Value
12660.0,1,245.1,Low Value
12662.0,12,3817.08,Medium Value
12664.0,10,4863.88,Medium Value
12665.0,2,61.75,Low Value
12666.0,1,-227.44,
12667.0,1,620.13,Low Value
12668.0,6,3743.18,Medium Value
12669.0,4,1607.73,Medium Value
12670.0,6,2986.15,Medium Value
12672.0,1,225.89999999999998,Low Value
12673.0,2,610.52,Low Value
12674.0,7,1919.31,Medium Value
12676.0,6,1331.39,Medium Value
12678.0,13,17588.26,High Value
12679.0,9,1058.67,Medium Value
12680.0,4,862.81,Low Value
12681.0,27,13677.59,High Value
12682.0,31,12288.22,High Value
12683.0,20,8221.09,High Value
12684.0,7,2283.63,Medium Value
12685.0,6,2863.08,Medium Value
12686.0,1,89.14,Low Value
12688.0,1,4873.8099999999995,Medium Value
12689.0,2,1247.61,Medium Value
12690.0,1,389.01,Low Value
12691.0,6,1035.8,Medium Value
12693.0,6,830.96,Low Value
12694.0,2,869.67,Low Value
12695.0,4,582.1,Low Value
12697.0,5,939.02,Low Value
12700.0,6,4867.99,Medium Value
12701.0,2,797.71,Low Value
12702.0,1,219.0,Low Value
12703.0,2,274.7,Low Value
12704.0,10,2220.84,Medium Value
12705.0,14,6814.24,High Value
12707.0,1,603.42,Low Value
12708.0,16,2616.32,Medium Value
12709.0,26,9294.1,High Value
12710.0,4,1130.57,Medium Value
12712.0,17,4241.63,Medium Value
12713.0,1,848.55,Low Value
12714.0,5,4708.86,Medium Value
12715.0,1,353.86,Low Value
12716.0,2,1053.49,Medium Value
12717.0,3,980.98,Low Value
12718.0,1,238.25,Low Value
12719.0,3,608.1,Low Value
12720.0,29,5713.28,High Value
12721.0,7,2628.98,Medium Value
12722.0,6,904.33,Low Value
12723.0,5,725.07,Low Value
12724.0,4,1031.41,Medium Value
12725.0,1,427.8,Low Value
12726.0,7,2609.1,Medium Value
12727.0,9,3947.7,Medium Value
12728.0,4,836.33,Low Value
12729.0,1,453.01,Low Value
12731.0,14,18793.41,High Value
12732.0,1,236.26000000000002,Low Value
12733.0,1,383.95,Low Value
12734.0,1,110.39999999999999,Low Value
12735.0,2,779.5699999999999,Low Value
12736.0,1,234.0,Low Value
12738.0,1,155.35,Low Value
12739.0,2,1013.04,Medium Value
12740.0,1,427.6,Low Value
12743.0,2,546.43,Low Value
12744.0,10,9120.39,High Value
12747.0,11,4196.01,Medium Value
12748.0,224,29072.1,High Value
12749.0,8,3868.2,Medium Value
12750.0,1,275.88,Low Value
12752.0,1,4366.78,Medium Value
12753.0,11,21024.01,High Value
12754.0,5,2949.12,Medium Value
12755.0,4,2203.2,Medium Value
12756.0,1,112.07999999999998,Low Value
12757.0,19,4227.7,Medium Value
12758.0,2,2791.59,Medium Value
12759.0,3,1531.44,Medium Value
12762.0,2,1898.52,Medium Value
12763.0,2,494.08,Low Value
12764.0,1,1693.88,Medium Value
12766.0,7,6989.63,High Value
12769.0,1,1143.6,Medium Value
12770.0,1,1351.45,Medium Value
12772.0,1,892.47,Low Value
12775.0,6,1351.24,Medium Value
12778.0,7,804.23,Low Value
12779.0,12,3868.7,Medium Value
12781.0,5,707.72,Low Value
12782.0,6,2273.32,Medium Value
12783.0,8,1603.87,Medium Value
12784.0,2,574.42,Low Value
12785.0,2,305.71,Low Value
12787.0,3,463.66,Low Value
12789.0,1,91.85,Low Value
12790.0,1,324.92,Low Value
12791.0,1,192.60000000000002,Low Value
12792.0,1,400.53999999999996,Low Value
12793.0,2,545.48,Low Value
12794.0,2,860.41,Low Value
12795.0,1,430.48,Low Value
12797.0,3,194.18,Low Value
12798.0,3,6977.04,High Value
12802.0,2,412.58,Low Value
12808.0,3,483.65000000000003,Low Value
12809.0,2,484.36,Low Value
12811.0,3,514.85,Low Value
12812.0,1,229.64000000000001,Low Value
12814.0,1,125.92,Low Value
12815.0,2,1063.46,Medium Value
12816.0,2,572.2,Low Value
12817.0,1,166.04,Low Value
12818.0,2,1517.88,Medium Value
12820.0,4,942.34,Low Value
12821.0,1,92.72,Low Value
12822.0,3,918.98,Low Value
12823.0,5,1759.5,Medium Value
12824.0,1,397.12,Low Value
12826.0,8,1468.1200000000001,Medium Value
12827.0,3,430.15000000000003,Low Value
12828.0,6,1018.71,Medium Value
12829.0,3,253.05,Low Value
12830.0,7,6748.4,High Value
12831.0,1,215.05,Low Value
12832.0,2,383.03,Low Value
12833.0,1,417.38,Low Value
12834.0,1,312.38,Low Value
12836.0,4,2612.86,Medium Value
12837.0,1,134.1,Low Value
12838.0,2,683.13,Low Value
12839.0,16,5583.62,High Value
12840.0,6,2714.27,Medium Value
12841.0,26,3876.4,Medium Value
12842.0,2,1118.99,Medium Value
12843.0,9,1680.76,Medium Value
12844.0,2,325.96000000000004,Low Value
12845.0,4,354.09,Low Value
12847.0,1,871.54,Low Value
12849.0,2,1050.8899999999999,Medium Value
12851.0,1,135.18,Low Value
12852.0,2,299.75,Low Value
12853.0,9,1881.7,Medium Value
12854.0,5,1289.15,Medium Value
12855.0,1,38.1,Low Value
12856.0,8,2162.68,Medium Value
12857.0,2,1106.4,Medium Value
12863.0,2,504.2,Low Value
12864.0,1,147.12,Low Value
12865.0,3,1548.07,Medium Value
12866.0,1,559.12,Low Value
12867.0,10,3986.22,Medium Value
12868.0,6,1607.0600000000002,Medium Value
12870.0,1,-14.899999999999999,
12871.0,2,380.64,Low Value
12872.0,2,599.97,Low Value
12873.0,1,374.0,Low Value
12875.0,2,343.2300000000001,Low Value
12876.0,2,2218.02,Medium Value
12877.0,12,1535.77,Medium Value
12878.0,3,841.64,Low Value
12879.0,4,552.5699999999999,Low Value
12881.0,1,298.0,Low Value
12882.0,2,1463.04,Medium Value
12883.0,4,703.47,Low Value
12884.0,1,309.05,Low Value
12885.0,4,1158.27,Medium Value
12886.0,3,1351.09,Medium Value
12888.0,4,313.77,Low Value
12890.0,1,380.46999999999997,Low Value
12891.0,3,331.0,Low Value
12893.0,1,188.14,Low Value
12895.0,3,347.3,Low Value
12897.0,2,216.5,Low Value
12901.0,36,16293.1,High Value
12902.0,1,138.68,Low Value
12904.0,2,509.58,Low Value
12906.0,5,2919.81,Medium Value
12908.0,4,246.0,Low Value
12909.0,8,2128.83,Medium Value
12910.0,8,3075.04,Medium Value
12912.0,5,1662.3,Medium Value
12913.0,5,2483.63,Medium Value
12915.0,2,363.65,Low Value
12916.0,5,2982.35,Medium Value
12917.0,1,594.0,Low Value
12919.0,8,1301.44,Medium Value
12920.0,1,164.23,Low Value
12921.0,50,16389.74,High Value
12922.0,1,405.38,Low Value
12923.0,1,176.97,Low Value
12924.0,5,929.95,Low Value
12925.0,2,694.05,Low Value
12928.0,5,2062.7000000000003,Medium Value
12929.0,2,105.1,Low Value
12930.0,4,409.9,Low Value
12931.0,20,33462.81,High Value
12933.0,4,606.28,Low Value
12935.0,8,2156.45,Medium Value
12936.0,5,1012.9,Medium Value
12937.0,4,1504.27,Medium Value
12938.0,1,114.14,Low Value
12939.0,8,11581.8,High Value
12940.0,4,876.29,Low Value
12942.0,3,683.9,Low Value
12943.0,1,-3.75,
12944.0,2,604.51,Low Value
12945.0,1,462.95,Low Value
12947.0,11,1407.29,Medium Value
12948.0,8,2053.7,Medium Value
12949.0,10,4143.02,Medium Value
12950.0,3,1843.0,Medium Value
12951.0,8,1042.07,Medium Value
12952.0,5,1382.8400000000001,Medium Value
12953.0,1,329.85,Low Value
12955.0,14,4734.26,Medium Value
12956.0,1,108.07,Low Value
12957.0,12,3979.04,Medium Value
12962.0,2,266.39,Low Value
12963.0,9,1841.03,Medium Value
12965.0,1,771.91,Low Value
12966.0,1,160.18,Low Value
12967.0,4,1194.75,Medium Value
12968.0,1,135.95,Low Value
12970.0,4,452.24,Low Value
12971.0,89,10930.26,High Value
12974.0,1,144.8,Low Value
12976.0,1,738.6,Low Value
12977.0,1,39.239999999999995,Low Value
12980.0,12,7092.06,High Value
12981.0,2,372.21999999999997,Low Value
12982.0,2,377.2,Low Value
12984.0,1,97.5,Low Value
12985.0,3,1215.6200000000001,Medium Value
12987.0,3,545.0,Low Value
12988.0,1,535.32,Low Value
12989.0,19,6854.51,High Value
12990.0,3,409.5,Low Value
12991.0,2,503.76,Low Value
12993.0,4,414.76,Low Value
12994.0,5,902.22,Low Value
12995.0,2,200.72,Low Value
12997.0,7,1197.94,Medium Value
12999.0,3,455.88,Low Value
13000.0,3,534.85,Low Value
13001.0,15,9797.92,High Value
13002.0,1,120.94999999999999,Low Value
13003.0,3,149.05,Low Value
13004.0,22,5613.43,High Value
13005.0,3,468.95,Low Value
13006.0,1,81.57,Low Value
13008.0,2,178.46999999999997,Low Value
13011.0,1,50.550000000000004,Low Value
13012.0,11,1311.6200000000001,Medium Value
13013.0,15,4786.99,Medium Value
13014.0,16,3365.43,Medium Value
13015.0,5,3346.28,Medium Value
13016.0,3,789.89,Low Value
13017.0,1,204.0,Low Value
13018.0,29,7272.75,High Value
13021.0,12,2584.4,Medium Value
13023.0,2,689.9,Low Value
13026.0,8,936.15,Low Value
13027.0,6,6912.0,High Value
13028.0,3,659.68,Low Value
13029.0,3,1247.5,Medium Value
13030.0,2,799.48,Low Value
13032.0,3,996.52,Low Value
13033.0,1,190.55,Low Value
13034.0,2,642.77,Low Value
13035.0,3,886.63,Low Value
13037.0,3,881.07,Low Value
13038.0,3,908.46,Low Value
13040.0,2,676.99,Low Value
13043.0,2,471.57,Low Value
13044.0,1,560.47,Low Value
13045.0,1,305.28000000000003,Low Value
13046.0,2,629.31,Low Value
13047.0,18,3079.1,Medium Value
13048.0,5,1805.91,Medium Value
13049.0,2,656.6800000000001,Low Value
13050.0,28,5684.61,High Value
13052.0,1,348.15000000000003,Low Value
13055.0,4,1201.96,Medium Value
13058.0,3,271.40000000000003,Low Value
13059.0,1,183.4,Low Value
13060.0,1,307.53,Low Value
13061.0,1,248.61,Low Value
13062.0,1,346.98,Low Value
13064.0,4,1119.49,Medium Value
13065.0,1,205.86,Low Value
13066.0,3,430.9,Low Value
13067.0,1,115.46000000000001,Low Value
13068.0,2,344.0,Low Value
13069.0,27,3717.82,Medium Value
13070.0,1,228.8,Low Value
13072.0,1,177.15,Low Value
13075.0,1,919.61,Low Value
13077.0,4,729.27,Low Value
13078.0,43,12432.28,High Value
13079.0,5,220.10000000000002,Low Value
13080.0,1,58.08,Low Value
13081.0,21,27964.48,High Value
13082.0,10,3595.48,Medium Value
13083.0,2,303.75,Low Value
13085.0,3,272.38,Low Value
13089.0,118,57385.88,High Value
13090.0,18,8689.39,High Value
13091.0,2,319.82,Low Value
13092.0,6,459.83,Low Value
13093.0,13,7741.47,High Value
13094.0,16,1708.8600000000001,Medium Value
13095.0,1,74.39999999999999,Low Value
13097.0,14,5893.32,High Value
13098.0,41,28658.88,High Value
13099.0,1,207.35999999999999,Low Value
13101.0,1,101.19,Low Value
13102.0,27,6336.29,High Value
13103.0,1,243.94,Low Value
13104.0,6,1098.48,Medium Value
13106.0,2,59.5,Low Value
13107.0,5,1524.07,Medium Value
13108.0,1,350.06,Low Value
13109.0,5,766.84,Low Value
13110.0,8,1452.8700000000001,Medium Value
13113.0,40,10510.0,High Value
13115.0,14,2205.63,Medium Value
13116.0,2,485.19,Low Value
13117.0,8,984.91,Low Value
13118.0,7,1125.0,Medium Value
13120.0,1,30.599999999999998,Low Value
13121.0,2,254.73,Low Value
13122.0,2,922.39,Low Value
13124.0,3,3866.33,Medium Value
13126.0,10,2056.29,Medium Value
13127.0,1,259.17,Low Value
13130.0,1,64.0,Low Value
13131.0,4,1039.3,Medium Value
13132.0,1,77.3,Low Value
13133.0,2,109.8,Low Value
13134.0,7,1740.63,Medium Value
13135.0,1,3096.0,Medium Value
13136.0,11,2545.38,Medium Value
13137.0,9,3605.08,Medium Value
13138.0,6,962.39,Low Value
13139.0,8,5055.79,High Value
13140.0,3,423.72,Low Value
13141.0,6,2385.8,Medium Value
13142.0,1,307.09,Low Value
13144.0,1,110.95,Low Value
13145.0,5,614.77,Low Value
13146.0,1,228.91,Low Value
13147.0,4,712.8000000000001,Low Value
13148.0,17,3348.48,Medium Value
13149.0,4,1676.06,Medium Value
13151.0,2,1250.3700000000001,Medium Value
13153.0,1,486.22,Low Value
13154.0,1,-611.86,
13155.0,4,971.76,Low Value
13157.0,5,1721.57,Medium Value
13158.0,4,1201.06,Medium Value
13159.0,5,1379.75,Medium Value
13160.0,1,91.8,Low Value
13161.0,1,112.75,Low Value
13162.0,5,1644.99,Medium Value
13165.0,2,1021.48,Medium Value
13166.0,2,414.7,Low Value
13167.0,4,791.33,Low Value
13168.0,5,1310.14,Medium Value
13169.0,2,712.88,Low Value
13170.0,1,116.00999999999999,Low Value
13171.0,5,426.81,Low Value
13173.0,2,353.65,Low Value
13174.0,3,2817.03,Medium Value
13176.0,1,492.84,Low Value
13177.0,1,282.45,Low Value
13178.0,11,5725.47,High Value
13182.0,1,121.18,Low Value
13183.0,9,3957.78,Medium Value
13184.0,12,1648.79,Medium Value
13185.0,1,71.4,Low Value
13186.0,5,1539.69,Medium Value
13187.0,1,236.02,Low Value
13188.0,1,114.60000000000001,Low Value
13189.0,2,260.68,Low Value
13192.0,2,911.94,Low Value
13193.0,1,117.88,Low Value
13194.0,1,60.7,Low Value
13196.0,4,1797.78,Medium Value
13198.0,8,3384.09,Medium Value
13199.0,39,9803.96,High Value
13200.0,4,870.09,Low Value
13203.0,4,869.46,Low Value
13207.0,2,250.26000000000002,Low Value
13208.0,7,1205.9,Medium Value
13209.0,11,5820.16,High Value
13210.0,1,353.48,Low Value
13211.0,3,1197.42,Medium Value
13212.0,4,780.58,Low Value
13213.0,6,1518.43,Medium Value
13216.0,1,333.74,Low Value
13217.0,5,133.62,Low Value
13218.0,1,62.63999999999999,Low Value
13220.0,4,819.2900000000001,Low Value
13221.0,2,847.41,Low Value
13223.0,2,163.20000000000002,Low Value
13224.0,3,2150.85,Medium Value
13225.0,8,6083.04,High Value
13226.0,1,108.21000000000001,Low Value
13227.0,1,257.7,Low Value
13228.0,1,358.0,Low Value
13229.0,1,160.95,Low Value
13230.0,15,2763.41,Medium Value
13232.0,7,1357.6,Medium Value
13233.0,2,605.12,Low Value
13235.0,2,101.17000000000007,Low Value
13236.0,3,727.27,Low Value
13238.0,5,680.83,Low Value
13239.0,1,329.56,Low Value
13240.0,4,663.65,Low Value
13242.0,3,270.40000000000003,Low Value
13243.0,1,600.07,Low Value
13244.0,1,121.74000000000001,Low Value
13245.0,1,430.5,Low Value
13246.0,7,1922.1,Medium Value
13247.0,4,501.12,Low Value
13248.0,2,465.68,Low Value
13249.0,3,711.41,Low Value
13253.0,2,1030.4,Medium Value
13255.0,3,390.66,Low Value
13256.0,1,0.0,
13258.0,3,698.58,Low Value
13259.0,1,292.32,Low Value
13260.0,1,557.62,Low Value
13261.0,2,944.1,Low Value
13262.0,1,200.29,Low Value
13263.0,35,7454.07,High Value
13265.0,5,2107.66,Medium Value
13266.0,19,3717.67,Medium Value
13267.0,27,4404.44,Medium Value
13268.0,15,3167.64,Medium Value
13269.0,17,5315.92,High Value
13270.0,1,590.0,Low Value
13271.0,2,178.26,Low Value
13272.0,2,276.56,Low Value
13273.0,1,138.98,Low Value
13276.0,2,590.9300000000001,Low Value
13277.0,4,258.4,Low Value
13278.0,1,542.73,Low Value
13279.0,2,126.30000000000001,Low Value
13280.0,3,814.86,Low Value
13282.0,6,1047.8400000000001,Medium Value
13283.0,2,93.66,Low Value
13284.0,2,196.15,Low Value
13285.0,4,2709.12,Medium Value
13291.0,1,361.11,Low Value
13292.0,2,578.9399999999999,Low Value
13294.0,2,873.74,Low Value
13295.0,2,197.95000000000002,Low Value
13296.0,1,87.4,Low Value
13297.0,4,2089.85,Medium Value
13298.0,1,360.0,Low Value
13299.0,1,142.5,Low Value
13300.0,2,365.29,Low Value
13301.0,4,618.09,Low Value
13302.0,1,63.75,Low Value
13304.0,1,300.42,Low Value
13305.0,10,2000.86,Medium Value
13307.0,1,15.0,Low Value
13308.0,4,1367.6100000000001,Medium Value
13309.0,5,1456.79,Medium Value
13310.0,6,1083.63,Medium Value
13311.0,2,598.57,Low Value
13313.0,5,1555.32,Medium Value
13314.0,4,578.66,Low Value
13316.0,5,5815.49,High Value
13317.0,9,2140.07,Medium Value
13318.0,3,640.76,Low Value
13319.0,36,10664.34,High Value
13320.0,6,1491.7,Medium Value
13321.0,2,567.36,Low Value
13322.0,1,199.48000000000002,Low Value
13323.0,5,787.85,Low Value
13324.0,12,7072.8,High Value
13325.0,1,675.3,Low Value
13327.0,9,3617.57,Medium Value
13328.0,1,1308.48,Medium Value
13329.0,4,740.4,Low Value
13330.0,3,1140.93,Medium Value
13332.0,1,350.9,Low Value
13334.0,3,3536.82,Medium Value
13336.0,1,795.12,Low Value
13338.0,3,431.82,Low Value
13339.0,1,860.12,Low Value
13340.0,7,10736.48,High Value
13341.0,1,775.85,Low Value
13343.0,2,303.93,Low Value
13344.0,3,2543.72,Medium Value
13345.0,2,377.6,Low Value
13347.0,1,341.36,Low Value
13348.0,1,233.76,Low Value
13349.0,1,247.32,Low Value
13350.0,3,910.72,Low Value
13351.0,1,373.94,Low Value
13352.0,2,389.28,Low Value
13354.0,1,743.53,Low Value
13355.0,1,674.7,Low Value
13356.0,1,768.24,Low Value
13357.0,1,609.95,Low Value
13358.0,1,439.03,Low Value
13359.0,2,431.26,Low Value
13362.0,5,3085.4900000000002,Medium Value
13363.0,2,992.5,Low Value
13364.0,2,0.0,
13365.0,3,2191.22,Medium Value
13366.0,1,56.160000000000004,Low Value
13368.0,2,623.4,Low Value
13369.0,2,263.75,Low Value
13370.0,2,721.32,Low Value
13372.0,1,378.64,Low Value
13373.0,3,3312.25,Medium Value
13375.0,2,772.9,Low Value
13376.0,3,1019.76,Medium Value
13379.0,3,572.56,Low Value
13381.0,7,3626.81,Medium Value
13382.0,1,222.99,Low Value
13384.0,9,4122.28,Medium Value
13385.0,1,534.57,Low Value
13388.0,3,627.15,Low Value
13389.0,3,797.96,Low Value
13390.0,1,544.08,Low Value
13391.0,1,59.8,Low Value
13394.0,10,2312.8,Medium Value
13395.0,1,307.72,Low Value
13396.0,4,1325.29,Medium Value
13397.0,6,1539.18,Medium Value
13398.0,1,457.34,Low Value
13402.0,2,621.23,Low Value
13403.0,1,75.0,Low Value
13404.0,2,252.49,Low Value
13405.0,3,572.451,Low Value
13408.0,81,27487.41,High Value
13410.0,7,988.91,Low Value
13411.0,1,213.55,Low Value
13414.0,3,1390.5,Medium Value
13416.0,2,712.5,Low Value
13417.0,2,640.83,Low Value
13418.0,23,5845.44,High Value
13419.0,1,221.06,Low Value
13420.0,4,140.35,Low Value
13421.0,3,1848.98,Medium Value
13422.0,2,2601.55,Medium Value
13425.0,3,1624.21,Medium Value
